"zip","city","county","pop"
"90049","Los Angeles","Los Angeles","36964"
"95993","Yuba City","Sutter","36962"
"92869","Orange","Orange","36913"
"92660","Newport Beach","Orange","36906"
"94404","San Mateo","San Mateo","36905"
"91711","Claremont","Los Angeles","36854"
"95476","Sonoma","Sonoma","36792"
"95667","Placerville","El Dorado","36620"
"93405","San Luis Obispo","San Luis Obispo","36550"
"95660","North Highlands","Sacramento","36472"
"95340","Merced","Merced","36373"
"94588","Pleasanton","Alameda","36316"
"92065","Ramona","San Diego","36309"
"91340","San Fernando","Los Angeles","36227"
"93012","Camarillo","Ventura","36225"
"94952","Petaluma","Sonoma","36184"
"91362","Thousand Oaks","Ventura","36062"
"95126","San Jose","Santa Clara","35988"
"90012","Los Angeles","Los Angeles","35913"
"94040","Mountain View","Santa Clara","35845"
"95825","Sacramento","Sacramento","35825"
"92807","Anaheim","Orange","35777"
"91722","Covina","Los Angeles","35708"
"90266","Manhattan Beach","Los Angeles","35573"
"95820","Sacramento","Sacramento","35477"
"93612","Clovis","Fresno","35450"
"95973","Chico","Butte","35445"
"95821","Sacramento","Sacramento","35430"
"94401","San Mateo","San Mateo","35414"
"90621","Buena Park","Orange","35398"
"91768","Pomona","Los Angeles","35389"
"92394","Victorville","San Bernardino","35365"
"94124","San Francisco","San Francisco","35363"
"91780","Temple City","Los Angeles","35351"
"94621","Oakland","Alameda","35287"
"90260","Lawndale","Los Angeles","35161"
"94583","San Ramon","Contra Costa","35102"
"94523","Pleasant Hill","Contra Costa","35096"
"92706","Santa Ana","Orange","35083"
"92883","Corona","Riverside","35072"
"94115","San Francisco","San Francisco","35004"
"92103","San Diego","San Diego","34878"
"93561","Tehachapi","Kern","34839"
"94114","San Francisco","San Francisco","34754"
"93657","Sanger","Fresno","34723"
"91325","Northridge","Los Angeles","34635"
"94603","Oakland","Alameda","34593"
"96001","Redding","Shasta","34571"
"95361","Oakdale","Stanislaus","34558"
"91007","Arcadia","Los Angeles","34523"
"90277","Redondo Beach","Los Angeles","34506"
"94063","Redwood City","San Mateo","34503"
"91773","San Dimas","Los Angeles","34496"
"92240","Desert Hot Springs","Riverside","34447"
"90062","Los Angeles","Los Angeles","34422"
"92649","Huntington Beach","Orange","34406"
"93955","Seaside","Monterey","34395"
"91206","Glendale","Los Angeles","34386"
"91791","West Covina","Los Angeles","34363"
"92131","San Diego","San Diego","34359"
"91321","Newhall","Los Angeles","34355"
"95348","Merced","Merced","34241"
"92260","Palm Desert","Riverside","34225"
"93060","Santa Paula","Ventura","34181"
"92672","San Clemente","Orange","34110"
"92841","Garden Grove","Orange","34061"
"92881","Corona","Riverside","33996"
"92301","Adelanto","San Bernardino","33967"
"96002","Redding","Shasta","33901"
"91750","La Verne","Los Angeles","33836"
"93422","Atascadero","San Luis Obispo","33806"
"92116","San Diego","San Diego","33767"
"93555","Ridgecrest","Kern","33742"
"91423","Sherman Oaks","Los Angeles","33737"
"90504","Torrance","Los Angeles","33721"
"92595","Wildomar","Riverside","33642"
"92311","Barstow","San Bernardino","33612"
"92551","Moreno Valley","Riverside","33578"
"95901","Marysville","Yuba","33442"
"95358","Modesto","Stanislaus","33345"
"92373","Redlands","San Bernardino","33264"
"93001","Ventura","Ventura","33185"
"91752","Mira Loma","Riverside","33135"
"90601","Whittier","Los Angeles","33058"
"91754","Monterey Park","Los Angeles","33058"
"92220","Banning","Riverside","33014"
"91006","Arcadia","Los Angeles","33012"
"93703","Fresno","Fresno","33000"
"90222","Compton","Los Angeles","32850"
"95356","Modesto","Stanislaus","32842"
"90230","Culver City","Los Angeles","32808"
"90606","Whittier","Los Angeles","32803"
"92583","San Jacinto","Riverside","32692"
"93710","Fresno","Fresno","32625"
"92679","Trabuco Canyon","Orange","32579"
"91351","Canyon Country","Los Angeles","32572"
"95118","San Jose","Santa Clara","32560"
"94526","Danville","Contra Costa","32539"
"94545","Hayward","Alameda","32525"
"95377","Tracy","San Joaquin","32501"
"95341","Merced","Merced","32446"
"93940","Monterey","Monterey","32411"
"90803","Long Beach","Los Angeles","32389"
"91941","La Mesa","San Diego","32384"
"91107","Pasadena","Los Angeles","32364"
"92612","Irvine","Orange","32362"
"95842","Sacramento","Sacramento","32269"
"92124","San Diego","San Diego","32170"
"91604","Studio City","Los Angeles","32117"
"91354","Valencia","Los Angeles","32096"
"90807","Long Beach","Los Angeles","32067"
"94941","Mill Valley","Marin","32013"
"95662","Orangevale","Sacramento","32006"
"92173","San Ysidro","San Diego","31866"
"95482","Ukiah","Mendocino","31847"
"91915","Chula Vista","San Diego","31740"
"90008","Los Angeles","Los Angeles","31739"
"93101","Santa Barbara","Santa Barbara","31624"
"94610","Oakland","Alameda","31496"
"94132","San Francisco","San Francisco","31488"
"94043","Mountain View","Santa Clara","31488"
"91355","Valencia","Los Angeles","31455"
"95632","Galt","Sacramento","31431"
"95661","Roseville","Placer","31327"
"95070","Saratoga","Santa Clara","31308"
"93618","Dinuba","Tulare","31230"
"92123","San Diego","San Diego","31216"
"95131","San Jose","Santa Clara","31170"
"92107","San Diego","San Diego","31148"
"94102","San Francisco","San Francisco","31067"
"90712","Lakewood","Los Angeles","31063"
"91303","Canoga Park","Los Angeles","31053"
"94070","San Carlos","San Mateo","31049"
"93654","Reedley","Fresno","30935"
"92673","San Clemente","Orange","30927"
"93662","Selma","Fresno","30922"
"91607","Valley Village","Los Angeles","30873"
"90302","Inglewood","Los Angeles","30828"
"91356","Tarzana","Los Angeles","30804"
"95472","Sebastopol","Sonoma","30762"
"92203","Indio","Riverside","30744"
"90028","Los Angeles","Los Angeles","30734"
"91746","La Puente","Los Angeles","30708"
"91505","Burbank","Los Angeles","30680"
"94589","Vallejo","Solano","30668"
"91214","La Crescenta","Los Angeles","30654"
"92596","Winchester","Riverside","30573"
"92405","San Bernardino","San Bernardino","30511"
"93004","Ventura","Ventura","30502"
"91803","Alhambra","Los Angeles","30385"
"90680","Stanton","Orange","30321"
"95824","Sacramento","Sacramento","30296"
"94608","Emeryville","Alameda","30289"
"95682","Shingle Springs","El Dorado","30141"
"91731","El Monte","Los Angeles","30139"
"93420","Arroyo Grande","San Luis Obispo","30136"
"94903","San Rafael","Marin","30048"
"92653","Laguna Hills","Orange","29986"
"91316","Encino","Los Angeles","29964"
"94801","Richmond","Contra Costa","29958"
"94580","San Lorenzo","Alameda","29942"
"94602","Oakland","Alameda","29933"
"95492","Windsor","Sonoma","29920"
"92110","San Diego","San Diego","29911"
"94131","San Francisco","San Francisco","29902"
"91792","West Covina","Los Angeles","29839"
"94107","San Francisco","San Francisco","29689"
"95219","Stockton","San Joaquin","29668"
"94549","Lafayette","Contra Costa","29639"
"91324","Northridge","Los Angeles","29617"
"94585","Suisun City","Solano","29599"
"95117","San Jose","Santa Clara","29592"
"90039","Los Angeles","Los Angeles","29589"
"90041","Los Angeles","Los Angeles","29516"
"93035","Oxnard","Ventura","29404"
"95966","Oroville","Butte","29367"
"96150","South Lake Tahoe","El Dorado","29357"
"93704","Fresno","Fresno","29294"
"95603","Auburn","Placer","29244"
"94704","Berkeley","Alameda","29190"
"92120","San Diego","San Diego","29142"
"92694","Ladera Ranch","Orange","29064"
"90713","Lakewood","Los Angeles","29061"
"91384","Castaic","Los Angeles","28842"
"92604","Irvine","Orange","28819"
"92316","Bloomington","San Bernardino","28783"
"94103","San Francisco","San Francisco","28735"
"95133","San Jose","Santa Clara","28726"
"92262","Palm Springs","Riverside","28517"
"96080","Red Bluff","Tehama","28487"
"94518","Concord","Contra Costa","28428"
"95204","Stockton","San Joaquin","28425"
"91103","Pasadena","Los Angeles","28425"
"93401","San Luis Obispo","San Luis Obispo","28423"
"94510","Benicia","Solano","28262"
"95834","Sacramento","Sacramento","28229"
"90710","Harbor City","Los Angeles","28185"
"95829","Sacramento","Sacramento","28134"
"90405","Santa Monica","Los Angeles","28115"
"90035","Los Angeles","Los Angeles","28085"
"95212","Stockton","San Joaquin","28049"
"95969","Paradise","Butte","27967"
"95370","Sonora","Tuolumne","27951"
"93901","Salinas","Monterey","27805"
"94598","Walnut Creek","Contra Costa","27780"
"94062","Redwood City","San Mateo","27757"
"91755","Monterey Park","Los Angeles","27734"
"95961","Olivehurst","Yuba","27728"
"93280","Wasco","Kern","27698"
"92868","Orange","Orange","27693"
"90038","Los Angeles","Los Angeles","27660"
"90061","Los Angeles","Los Angeles","27646"
"94306","Palo Alto","Santa Clara","27549"
"90291","Venice","Los Angeles","27525"
"94559","Napa","Napa","27523"
"93105","Santa Barbara","Santa Barbara","27515"
"90270","Maywood","Los Angeles","27454"
"91364","Woodland Hills","Los Angeles","27340"
"92008","Carlsbad","San Diego","27330"
"95409","Santa Rosa","Sonoma","27312"
"92227","Brawley","Imperial","27255"
"95134","San Jose","Santa Clara","27224"
"94002","Belmont","San Mateo","27202"
"91945","Lemon Grove","San Diego","27193"
"90746","Carson","Los Angeles","26996"
"93725","Fresno","Fresno","26980"
"95363","Patterson","Stanislaus","26900"
"91504","Burbank","Los Angeles","26863"
"92629","Dana Point","Orange","26744"
"95618","El Macero","Yolo","26743"
"90017","Los Angeles","Los Angeles","26728"
"91932","Imperial Beach","San Diego","26701"
"92614","Irvine","Orange","26676"
"91302","Calabasas","Los Angeles","26634"
"91042","Tujunga","Los Angeles","26631"
"93960","Soledad","Monterey","26610"
"91010","Duarte","Los Angeles","26601"
"91307","West Hills","Los Angeles","26595"
"92860","Norco","Riverside","26591"
"90249","Gardena","Los Angeles","26587"
"94947","Novato","Marin","26573"
"91741","Glendora","Los Angeles","26565"
"92411","San Bernardino","San Bernardino","26563"
"94133","San Francisco","San Francisco","26527"
"95032","Los Gatos","Santa Clara","26281"
"94607","Oakland","Alameda","26254"
"95242","Lodi","San Joaquin","26235"
"90240","Downey","Los Angeles","26205"
